مؤلفه (مانع کسب و کار),نمره در استان یزد (تابستان 1403)
دشواری تأمین مالی از بانک‌ها,7.88 
غیرقابل پیش‌بینی بودن و تغییرات قیمت مواد اولیه و محصولات,7.77 
بی‌ثباتی سیاست‌ها قوانین و مقررات و رویه‌های اجرایی,7.09 
محدودیت دسترسی به حامل‌های انرژی (برق و گاز),7.05 
کمبود نیروی کار ماهر,6.90 
موانع در فرآیندهای اداری و اخذ مجوزها,6.77 [cite: 97]
وجود رقابت غیرمنصفانه شرکت‌های دولتی یا شبه‌دولتی,6.66 [cite: 94]
عرضه کالاها و محصولات قاچاق در بازار,6.39 [cite: 94]
بی‌تعهدی طرف‌های قرارداد و معامله به اجرای تعهدات,6.29 
تولید و عرضه آزاد کالاهای غیر استاندارد و تقلبی,6.29 [cite: 93]
رویه های ناعادلانه ممیزی و دریافت مالیات,6.28 
کمبود فناوری‌های نوین و تجهیزات مورد نیاز,6.00 
فساد و سوءاستفاده افراد از مقام و موقعیت اداری,5.81 [cite: 97]
نحوه استقبال مشتریان از نوآوری و ابتکار در محصول,5.55 
فقدان ارتباط مناسب میان عوامل تأمین مواد اولیه و تولید,5.53 [cite: 94]
ضعف دادگاه‌ها در رسیدگی به شکایات و پیگرد متجاوزان,5.40 [cite: 93]
کمبود تقاضا در بازار,5.38 [cite: 95]
برداشت‌های سلیقه‌ای مأموران (شهرداری و محیط زیست و...),5.27 
وجود انحصار یا رانت به یک یا تعدادی از رقبا,5.10 [cite: 93]
محدودیت دسترسی به آب,4.97 [cite: 97]
محدودیت‌های دسترسی به شبکه تلفن همراه و اینترنت,4.88 
دخالت‌های غیرمنطقی نهادهای حاکمیتی در تعیین قیمت‌ها,4.88 [cite: 94]
ضعف نظام توزیع و مشکل در رساندن محصول به بازار,4.70 [cite: 93]
کارگریزی عمومی و ضعف فرهنگ کار در جامعه,4.71 [cite: 95]
تمایل عمومی به خرید کالای خارجی و بی‌رغبتی به ایرانی,4.60 [cite: 93]
ضعف زیرساخت‌های حمل و نقل (جاده‌ای و ریلی و...),4.58 [cite: 93]
فقدان یا شفاف نبودن آمار و اطلاعات مورد نیاز,4.23 [cite: 93]
نحوه استقبال از سرمایه‌گذاری خارجی,4.23 [cite: 97]